,START_LAT,END_LNG,START_LNG,END_LAT
0,22.77274398,113.83494,113.8205355,22.76639466
1,22.67301144,114.0141308,114.0498136,22.67191404
2,22.53939071,114.1135946,114.1178278,22.53460987
3,22.67032308,114.0362434,114.0362956,22.67021571
4,22.4872755,113.9337455,113.9314784,22.48900557
5,22.64139838,114.0210916,114.0161002,22.64340373
6,22.59593976,113.9863864,113.9888044,22.58573902
7,22.54470205,114.125003,114.1289335,22.54292059
8,22.54602638,114.1187084,114.1218932,22.53550783
9,22.56728935,114.0423737,114.0560761,22.56596541
10,22.593942,113.924785,113.921364,22.487854
11,22.51218343,114.0483015,114.0622119,22.50321104
12,22.51219173,114.0483098,114.0622202,22.50321934
13,22.56786199,113.8499678,113.8648316,22.56662808
14,22.54955652,114.1223155,114.1261346,22.54882379
15,22.63433371,114.0393475,114.0518959,22.64348036
16,22.56615121,113.9431214,113.9514946,22.5658102
17,22.60774744,114.1327057,114.1361001,22.60607183
18,22.56876755,113.8940647,113.9039154,22.57936455
19,22.56961055,114.1126519,114.1123611,22.56547606
20,22.549873,113.949107,113.949347,22.550499
21,22.55810266,114.0417658,114.0363794,22.55475095
22,22.48994303,113.951667,113.9347567,22.50122053
23,22.7199707,113.8214225,113.8564224,22.73119475
24,22.720014,113.8214658,113.8564657,22.73123805
25,22.54619093,114.1268887,114.1217634,22.53825294
26,22.54131527,113.9701168,113.9688723,22.54004714
27,22.54785077,114.0475385,114.0519091,22.55718854
28,22.65993053,114.0720209,114.0768171,22.65148271
29,22.54922433,114.2300628,114.2301979,22.54913839
30,22.54601913,114.0840179,114.083812,22.5327082
31,22.64798421,114.0098282,114.0147217,22.65517032
32,22.54109351,114.0873962,114.0937378,22.531555
33,22.65743556,114.0209551,114.0261157,22.66399985
34,22.56983954,113.8766829,113.8693242,22.57675249
35,22.64678001,114.0112412,114.0354309,22.65851849
36,22.53510495,113.9732081,113.9660363,22.53960243
37,22.64622688,114.0653399,114.0654831,22.64615591
38,22.62463097,114.1602585,114.132343,22.61452319
39,22.55934435,113.9497536,113.9485069,22.54454975
40,22.56039551,114.1383042,114.1720437,22.54650646
41,22.52203346,114.0467622,113.9924001,22.55651897
42,22.54391049,114.1430365,114.1383896,22.55026398
43,22.54773763,114.1357112,114.1500046,22.54826272
44,22.53607921,114.0738947,114.0788536,22.53612751
45,22.55154476,113.9234857,113.9266897,22.54308053
46,22.69251811,114.2238364,114.2420329,22.69841776
47,22.65618783,114.1931809,114.1926215,22.65508208
48,22.49000963,113.9518011,113.9348233,22.50126236
49,22.55148036,113.9234213,113.9266253,22.54301613
50,22.61892652,114.0378122,114.0538469,22.626897
51,22.54427459,113.99914,114.0072585,22.54233877
52,22.56621146,113.8885691,113.8976083,22.57892375
53,22.57297517,114.1433692,114.1403808,22.56095264
54,22.53383002,114.1181436,114.1223229,22.52941734
55,22.68673123,113.9250777,113.9379913,22.67478557
56,22.59463001,113.8770715,113.8724801,22.59632985
57,22.52594184,113.9955744,113.9924791,22.52936164
58,22.66357178,114.0211829,113.9972116,22.6356732
59,22.54413821,114.1438955,114.1461075,22.54262164
60,22.50505303,114.0447038,114.0540324,22.51938678
61,22.54419591,114.1439532,114.1461652,22.54267934
62,22.56583222,113.8635869,113.8642244,22.56235429
63,22.55127286,114.0834877,114.0860605,22.55708057
64,22.5265625,114.0225649,114.0140112,22.52601586
65,22.54069117,113.9674439,113.9610618,22.57066139
66,22.5369588,114.0931152,114.0916953,22.54351279
67,22.65990735,114.0285313,114.0347268,22.66325388
68,22.60776157,114.1325907,114.1360003,22.60597535
69,22.53681437,114.1216271,114.1244239,22.53359576
70,22.55447046,114.0287087,114.0156307,22.55258358
71,22.488613,113.918637,113.919647,22.488332
72,22.5429466,114.1282079,114.1191217,22.54429057
73,22.74703532,113.9037728,113.9059356,22.73878521
74,22.74704862,113.9037861,113.9059489,22.73879851
75,22.52912769,114.0396911,114.0265531,22.51893936
